Точка маршрута,Рейс 1,Рейс 2,Рейс 3,Рейс 4
28-29-Я ЛИНИИ,07:13:40,07:28:40,07:40:50,07:56:40
22-23-Я ЛИНИИ,07:14:30,07:29:30,07:41:50,07:57:40
МУЗЕЙ ГОРОДСКОГО ТРАНСПОРТА,07:16:40,07:31:40,00:00:00,08:00:10
12-13-Я ЛИНИИ,07:18:30,07:33:30,00:00:00,08:02:20
"МЕТРО ""ВАСИЛЕОСТРОВСКАЯ""",07:21:00,07:35:50,00:00:00,08:04:30
1-Я И КАДЕТСКАЯ ЛИНИИ,07:22:30,07:37:10,00:00:00,08:06:10
"1-Я И КАДЕТСКАЯ ЛИНИИ. МЕТРО ""СПОРТИВНАЯ""",07:23:50,07:38:20,00:00:00,08:07:20
"МЕТРО ""СПОРТИВНАЯ""",07:25:10,07:39:30,07:54:20,08:08:50
КРОНВЕРКСКИЙ ПРОСПЕКТ,07:26:20,07:40:40,07:55:50,08:10:10
ЗВЕРИНСКАЯ УЛ.,07:27:50,07:42:10,07:56:50,08:11:20
ВВЕДЕНСКАЯ УЛ.,07:28:50,07:43:40,07:58:20,08:13:00
СЫТНЫЙ РЫНОК,07:30:10,07:45:10,08:00:00,08:14:10
"МЕТРО ""ГОРЬКОВСКАЯ""",07:31:10,07:46:20,08:01:00,08:15:40
ТРОИЦКАЯ ПЛ. П.С.,07:32:20,07:48:00,08:02:20,08:16:50
УЛИЦА ЧАПАЕВА,07:33:40,07:49:10,08:03:50,08:18:10
